"Sport","x","y"
"Archery",2.55102040816327,0
"Archery",7.6530612244898,0
"Archery",12.7551020408163,0
"Archery",17.8571428571429,0
"Archery",22.9591836734694,0
"Archery",28.0612244897959,0
"Archery",33.1632653061224,0
"Archery",38.265306122449,0
"Archery",43.3673469387755,0
"Archery",48.469387755102,4
"Archery",53.5714285714286,12
"Archery",58.6734693877551,11
"Archery",63.7755102040816,19
"Archery",68.8775510204082,15
"Archery",73.9795918367347,18
"Archery",79.0816326530612,10
"Archery",84.1836734693878,9
"Archery",89.2857142857143,4
"Archery",94.3877551020408,4
"Archery",99.4897959183673,6
"Archery",104.591836734694,0
"Archery",109.69387755102,1
"Archery",114.795918367347,1
"Archery",119.897959183673,0
"Archery",125,0
"Archery",130.102040816327,0
"Archery",135.204081632653,0
"Archery",140.30612244898,0
"Archery",145.408163265306,0
"Archery",150.510204081633,0
"Archery",155.612244897959,0
"Archery",160.714285714286,0
"Archery",165.816326530612,0
"Archery",170.918367346939,0
"Archery",176.020408163265,0
"Archery",181.122448979592,0
"Archery",186.224489795918,0
"Archery",191.326530612245,0
"Archery",196.428571428571,0
"Archery",201.530612244898,0
"Archery",206.632653061224,0
"Archery",211.734693877551,0
"Archery",216.836734693878,0
"Archery",221.938775510204,0
"Archery",227.040816326531,0
"Archery",232.142857142857,0
"Archery",237.244897959184,0
"Archery",242.34693877551,0
"Archery",247.448979591837,0
"Archery",2.55102040816327,0
"Athletics",2.55102040816327,0
"Athletics",7.6530612244898,0
"Athletics",12.7551020408163,0
"Athletics",17.8571428571429,0
"Athletics",22.9591836734694,0
"Athletics",28.0612244897959,0
"Athletics",33.1632653061224,0
"Athletics",38.265306122449,3
"Athletics",43.3673469387755,49
"Athletics",48.469387755102,154
"Athletics",53.5714285714286,248
"Athletics",58.6734693877551,337
"Athletics",63.7755102040816,262
"Athletics",68.8775510204082,188
"Athletics",73.9795918367347,161
"Athletics",79.0816326530612,162
"Athletics",84.1836734693878,104
"Athletics",89.2857142857143,55
"Athletics",94.3877551020408,47
"Athletics",99.4897959183673,21
"Athletics",104.591836734694,11
"Athletics",109.69387755102,19
"Athletics",114.795918367347,22
"Athletics",119.897959183673,21
"Athletics",125,15
"Athletics",130.102040816327,14
"Athletics",135.204081632653,9
"Athletics",140.30612244898,4
"Athletics",145.408163265306,3
"Athletics",150.510204081633,1
"Athletics",155.612244897959,2
"Athletics",160.714285714286,2
"Athletics",165.816326530612,0
"Athletics",170.918367346939,0
"Athletics",176.020408163265,0
"Athletics",181.122448979592,0
"Athletics",186.224489795918,0
"Athletics",191.326530612245,0
"Athletics",196.428571428571,0
"Athletics",201.530612244898,0
"Athletics",206.632653061224,0
"Athletics",211.734693877551,0
"Athletics",216.836734693878,0
"Athletics",221.938775510204,0
"Athletics",227.040816326531,0
"Athletics",232.142857142857,0
"Athletics",237.244897959184,0
"Athletics",242.34693877551,0
"Athletics",247.448979591837,0
"Athletics",2.55102040816327,0
"Athletics, Triathlon",2.55102040816327,0
"Athletics, Triathlon",7.6530612244898,0
"Athletics, Triathlon",12.7551020408163,0
"Athletics, Triathlon",17.8571428571429,0
"Athletics, Triathlon",22.9591836734694,0
"Athletics, Triathlon",28.0612244897959,0
"Athletics, Triathlon",33.1632653061224,0
"Athletics, Triathlon",38.265306122449,0
"Athletics, Triathlon",43.3673469387755,0
"Athletics, Triathlon",48.469387755102,0
"Athletics, Triathlon",53.5714285714286,0
"Athletics, Triathlon",58.6734693877551,1
"Athletics, Triathlon",63.7755102040816,0
"Athletics, Triathlon",68.8775510204082,0
"Athletics, Triathlon",73.9795918367347,0
"Athletics, Triathlon",79.0816326530612,0
"Athletics, Triathlon",84.1836734693878,0
"Athletics, Triathlon",89.2857142857143,0
"Athletics, Triathlon",94.3877551020408,0
"Athletics, Triathlon",99.4897959183673,0
"Athletics, Triathlon",104.591836734694,0
"Athletics, Triathlon",109.69387755102,0
"Athletics, Triathlon",114.795918367347,0
"Athletics, Triathlon",119.897959183673,0
"Athletics, Triathlon",125,0
"Athletics, Triathlon",130.102040816327,0
"Athletics, Triathlon",135.204081632653,0
"Athletics, Triathlon",140.30612244898,0
"Athletics, Triathlon",145.408163265306,0
"Athletics, Triathlon",150.510204081633,0
"Athletics, Triathlon",155.612244897959,0
"Athletics, Triathlon",160.714285714286,0
"Athletics, Triathlon",165.816326530612,0
"Athletics, Triathlon",170.918367346939,0
"Athletics, Triathlon",176.020408163265,0
"Athletics, Triathlon",181.122448979592,0
"Athletics, Triathlon",186.224489795918,0
"Athletics, Triathlon",191.326530612245,0
"Athletics, Triathlon",196.428571428571,0
"Athletics, Triathlon",201.530612244898,0
"Athletics, Triathlon",206.632653061224,0
"Athletics, Triathlon",211.734693877551,0
"Athletics, Triathlon",216.836734693878,0
"Athletics, Triathlon",221.938775510204,0
"Athletics, Triathlon",227.040816326531,0
"Athletics, Triathlon",232.142857142857,0
"Athletics, Triathlon",237.244897959184,0
"Athletics, Triathlon",242.34693877551,0
"Athletics, Triathlon",247.448979591837,0
"Athletics, Triathlon",2.55102040816327,0
"Badminton",2.55102040816327,0
"Badminton",7.6530612244898,0
"Badminton",12.7551020408163,0
"Badminton",17.8571428571429,0
"Badminton",22.9591836734694,0
"Badminton",28.0612244897959,0
"Badminton",33.1632653061224,0
"Badminton",38.265306122449,0
"Badminton",43.3673469387755,0
"Badminton",48.469387755102,6
"Badminton",53.5714285714286,14
"Badminton",58.6734693877551,34
"Badminton",63.7755102040816,32
"Badminton",68.8775510204082,22
"Badminton",73.9795918367347,32
"Badminton",79.0816326530612,12
"Badminton",84.1836734693878,3
"Badminton",89.2857142857143,4
"Badminton",94.3877551020408,1
"Badminton",99.4897959183673,0
"Badminton",104.591836734694,0
"Badminton",109.69387755102,0
"Badminton",114.795918367347,0
"Badminton",119.897959183673,0
"Badminton",125,0
"Badminton",130.102040816327,0
"Badminton",135.204081632653,0
"Badminton",140.30612244898,0
"Badminton",145.408163265306,0
"Badminton",150.510204081633,0
"Badminton",155.612244897959,0
"Badminton",160.714285714286,0
"Badminton",165.816326530612,0
"Badminton",170.918367346939,0
"Badminton",176.020408163265,0
"Badminton",181.122448979592,0
"Badminton",186.224489795918,0
"Badminton",191.326530612245,0
"Badminton",196.428571428571,0
"Badminton",201.530612244898,0
"Badminton",206.632653061224,0
"Badminton",211.734693877551,0
"Badminton",216.836734693878,0
"Badminton",221.938775510204,0
"Badminton",227.040816326531,0
"Badminton",232.142857142857,0
"Badminton",237.244897959184,0
"Badminton",242.34693877551,0
"Badminton",247.448979591837,0
"Badminton",2.55102040816327,0
"Basketball",2.55102040816327,0
"Basketball",7.6530612244898,0
"Basketball",12.7551020408163,0
"Basketball",17.8571428571429,0
"Basketball",22.9591836734694,0
"Basketball",28.0612244897959,0
"Basketball",33.1632653061224,0
"Basketball",38.265306122449,0
"Basketball",43.3673469387755,0
"Basketball",48.469387755102,0
"Basketball",53.5714285714286,1
"Basketball",58.6734693877551,7
"Basketball",63.7755102040816,19
"Basketball",68.8775510204082,19
"Basketball",73.9795918367347,22
"Basketball",79.0816326530612,29
"Basketball",84.1836734693878,42
"Basketball",89.2857142857143,28
"Basketball",94.3877551020408,20
"Basketball",99.4897959183673,22
"Basketball",104.591836734694,15
"Basketball",109.69387755102,15
"Basketball",114.795918367347,13
"Basketball",119.897959183673,3
"Basketball",125,2
"Basketball",130.102040816327,1
"Basketball",135.204081632653,0
"Basketball",140.30612244898,0
"Basketball",145.408163265306,0
"Basketball",150.510204081633,0
"Basketball",155.612244897959,0
"Basketball",160.714285714286,0
"Basketball",165.816326530612,0
"Basketball",170.918367346939,0
"Basketball",176.020408163265,0
"Basketball",181.122448979592,0
"Basketball",186.224489795918,0
"Basketball",191.326530612245,0
"Basketball",196.428571428571,0
"Basketball",201.530612244898,0
"Basketball",206.632653061224,0
"Basketball",211.734693877551,0
"Basketball",216.836734693878,0
"Basketball",221.938775510204,0
"Basketball",227.040816326531,0
"Basketball",232.142857142857,0
"Basketball",237.244897959184,0
"Basketball",242.34693877551,0
"Basketball",247.448979591837,0
"Basketball",2.55102040816327,0
"Beach Volleyball",2.55102040816327,0
"Beach Volleyball",7.6530612244898,0
"Beach Volleyball",12.7551020408163,0
"Beach Volleyball",17.8571428571429,0
"Beach Volleyball",22.9591836734694,0
"Beach Volleyball",28.0612244897959,0
"Beach Volleyball",33.1632653061224,0
"Beach Volleyball",38.265306122449,0
"Beach Volleyball",43.3673469387755,0
"Beach Volleyball",48.469387755102,0
"Beach Volleyball",53.5714285714286,0
"Beach Volleyball",58.6734693877551,3
"Beach Volleyball",63.7755102040816,11
"Beach Volleyball",68.8775510204082,18
"Beach Volleyball",73.9795918367347,13
"Beach Volleyball",79.0816326530612,5
"Beach Volleyball",84.1836734693878,6
"Beach Volleyball",89.2857142857143,15
"Beach Volleyball",94.3877551020408,14
"Beach Volleyball",99.4897959183673,5
"Beach Volleyball",104.591836734694,2
"Beach Volleyball",109.69387755102,1
"Beach Volleyball",114.795918367347,0
"Beach Volleyball",119.897959183673,0
"Beach Volleyball",125,0
"Beach Volleyball",130.102040816327,0
"Beach Volleyball",135.204081632653,0
"Beach Volleyball",140.30612244898,0
"Beach Volleyball",145.408163265306,0
"Beach Volleyball",150.510204081633,0
"Beach Volleyball",155.612244897959,0
"Beach Volleyball",160.714285714286,0
"Beach Volleyball",165.816326530612,0
"Beach Volleyball",170.918367346939,0
"Beach Volleyball",176.020408163265,0
"Beach Volleyball",181.122448979592,0
"Beach Volleyball",186.224489795918,0
"Beach Volleyball",191.326530612245,0
"Beach Volleyball",196.428571428571,0
"Beach Volleyball",201.530612244898,0
"Beach Volleyball",206.632653061224,0
"Beach Volleyball",211.734693877551,0
"Beach Volleyball",216.836734693878,0
"Beach Volleyball",221.938775510204,0
"Beach Volleyball",227.040816326531,0
"Beach Volleyball",232.142857142857,0
"Beach Volleyball",237.244897959184,0
"Beach Volleyball",242.34693877551,0
"Beach Volleyball",247.448979591837,0
"Beach Volleyball",2.55102040816327,0
"Canoe Slalom",2.55102040816327,0
"Canoe Slalom",7.6530612244898,0
"Canoe Slalom",12.7551020408163,0
"Canoe Slalom",17.8571428571429,0
"Canoe Slalom",22.9591836734694,0
"Canoe Slalom",28.0612244897959,0
"Canoe Slalom",33.1632653061224,0
"Canoe Slalom",38.265306122449,0
"Canoe Slalom",43.3673469387755,0
"Canoe Slalom",48.469387755102,0
"Canoe Slalom",53.5714285714286,6
"Canoe Slalom",58.6734693877551,6
"Canoe Slalom",63.7755102040816,16
"Canoe Slalom",68.8775510204082,12
"Canoe Slalom",73.9795918367347,22
"Canoe Slalom",79.0816326530612,13
"Canoe Slalom",84.1836734693878,3
"Canoe Slalom",89.2857142857143,2
"Canoe Slalom",94.3877551020408,0
"Canoe Slalom",99.4897959183673,0
"Canoe Slalom",104.591836734694,0
"Canoe Slalom",109.69387755102,0
"Canoe Slalom",114.795918367347,0
"Canoe Slalom",119.897959183673,0
"Canoe Slalom",125,0
"Canoe Slalom",130.102040816327,0
"Canoe Slalom",135.204081632653,0
"Canoe Slalom",140.30612244898,0
"Canoe Slalom",145.408163265306,0
"Canoe Slalom",150.510204081633,0
"Canoe Slalom",155.612244897959,0
"Canoe Slalom",160.714285714286,0
"Canoe Slalom",165.816326530612,0
"Canoe Slalom",170.918367346939,0
"Canoe Slalom",176.020408163265,0
"Canoe Slalom",181.122448979592,0
"Canoe Slalom",186.224489795918,0
"Canoe Slalom",191.326530612245,0
"Canoe Slalom",196.428571428571,0
"Canoe Slalom",201.530612244898,0
"Canoe Slalom",206.632653061224,0
"Canoe Slalom",211.734693877551,0
"Canoe Slalom",216.836734693878,0
"Canoe Slalom",221.938775510204,0
"Canoe Slalom",227.040816326531,0
"Canoe Slalom",232.142857142857,0
"Canoe Slalom",237.244897959184,0
"Canoe Slalom",242.34693877551,0
"Canoe Slalom",247.448979591837,0
"Canoe Slalom",2.55102040816327,0
"Canoe Sprint",2.55102040816327,0
"Canoe Sprint",7.6530612244898,0
"Canoe Sprint",12.7551020408163,0
"Canoe Sprint",17.8571428571429,0
"Canoe Sprint",22.9591836734694,0
"Canoe Sprint",28.0612244897959,0
"Canoe Sprint",33.1632653061224,0
"Canoe Sprint",38.265306122449,0
"Canoe Sprint",43.3673469387755,0
"Canoe Sprint",48.469387755102,0
"Canoe Sprint",53.5714285714286,2
"Canoe Sprint",58.6734693877551,11
"Canoe Sprint",63.7755102040816,31
"Canoe Sprint",68.8775510204082,31
"Canoe Sprint",73.9795918367347,27
"Canoe Sprint",79.0816326530612,20
"Canoe Sprint",84.1836734693878,46
"Canoe Sprint",89.2857142857143,31
"Canoe Sprint",94.3877551020408,19
"Canoe Sprint",99.4897959183673,6
"Canoe Sprint",104.591836734694,0
"Canoe Sprint",109.69387755102,2
"Canoe Sprint",114.795918367347,0
"Canoe Sprint",119.897959183673,0
"Canoe Sprint",125,0
"Canoe Sprint",130.102040816327,0
"Canoe Sprint",135.204081632653,0
"Canoe Sprint",140.30612244898,0
"Canoe Sprint",145.408163265306,0
"Canoe Sprint",150.510204081633,0
"Canoe Sprint",155.612244897959,0
"Canoe Sprint",160.714285714286,0
"Canoe Sprint",165.816326530612,0
"Canoe Sprint",170.918367346939,0
"Canoe Sprint",176.020408163265,0
"Canoe Sprint",181.122448979592,0
"Canoe Sprint",186.224489795918,0
"Canoe Sprint",191.326530612245,0
"Canoe Sprint",196.428571428571,0
"Canoe Sprint",201.530612244898,0
"Canoe Sprint",206.632653061224,0
"Canoe Sprint",211.734693877551,0
"Canoe Sprint",216.836734693878,0
"Canoe Sprint",221.938775510204,0
"Canoe Sprint",227.040816326531,0
"Canoe Sprint",232.142857142857,0
"Canoe Sprint",237.244897959184,0
"Canoe Sprint",242.34693877551,0
"Canoe Sprint",247.448979591837,0
"Canoe Sprint",2.55102040816327,0
"Cycling",2.55102040816327,0
"Cycling",7.6530612244898,0
"Cycling",12.7551020408163,0
"Cycling",17.8571428571429,0
"Cycling",22.9591836734694,0
"Cycling",28.0612244897959,0
"Cycling",33.1632653061224,0
"Cycling",38.265306122449,0
"Cycling",43.3673469387755,0
"Cycling",48.469387755102,0
"Cycling",53.5714285714286,1
"Cycling",58.6734693877551,0
"Cycling",63.7755102040816,1
"Cycling",68.8775510204082,1
"Cycling",73.9795918367347,1
"Cycling",79.0816326530612,0
"Cycling",84.1836734693878,0
"Cycling",89.2857142857143,0
"Cycling",94.3877551020408,0
"Cycling",99.4897959183673,0
"Cycling",104.591836734694,0
"Cycling",109.69387755102,0
"Cycling",114.795918367347,0
"Cycling",119.897959183673,0
"Cycling",125,0
"Cycling",130.102040816327,0
"Cycling",135.204081632653,0
"Cycling",140.30612244898,0
"Cycling",145.408163265306,0
"Cycling",150.510204081633,0
"Cycling",155.612244897959,0
"Cycling",160.714285714286,0
"Cycling",165.816326530612,0
"Cycling",170.918367346939,0
"Cycling",176.020408163265,0
"Cycling",181.122448979592,0
"Cycling",186.224489795918,0
"Cycling",191.326530612245,0
"Cycling",196.428571428571,0
"Cycling",201.530612244898,0
"Cycling",206.632653061224,0
"Cycling",211.734693877551,0
"Cycling",216.836734693878,0
"Cycling",221.938775510204,0
"Cycling",227.040816326531,0
"Cycling",232.142857142857,0
"Cycling",237.244897959184,0
"Cycling",242.34693877551,0
"Cycling",247.448979591837,0
"Cycling",2.55102040816327,0
"Cycling - BMX",2.55102040816327,0
"Cycling - BMX",7.6530612244898,0
"Cycling - BMX",12.7551020408163,0
"Cycling - BMX",17.8571428571429,0
"Cycling - BMX",22.9591836734694,0
"Cycling - BMX",28.0612244897959,0
"Cycling - BMX",33.1632653061224,0
"Cycling - BMX",38.265306122449,0
"Cycling - BMX",43.3673469387755,0
"Cycling - BMX",48.469387755102,0
"Cycling - BMX",53.5714285714286,1
"Cycling - BMX",58.6734693877551,2
"Cycling - BMX",63.7755102040816,5
"Cycling - BMX",68.8775510204082,5
"Cycling - BMX",73.9795918367347,4
"Cycling - BMX",79.0816326530612,8
"Cycling - BMX",84.1836734693878,6
"Cycling - BMX",89.2857142857143,10
"Cycling - BMX",94.3877551020408,1
"Cycling - BMX",99.4897959183673,0
"Cycling - BMX",104.591836734694,0
"Cycling - BMX",109.69387755102,0
"Cycling - BMX",114.795918367347,0
"Cycling - BMX",119.897959183673,0
"Cycling - BMX",125,0
"Cycling - BMX",130.102040816327,0
"Cycling - BMX",135.204081632653,0
"Cycling - BMX",140.30612244898,0
"Cycling - BMX",145.408163265306,0
"Cycling - BMX",150.510204081633,0
"Cycling - BMX",155.612244897959,0
"Cycling - BMX",160.714285714286,0
"Cycling - BMX",165.816326530612,0
"Cycling - BMX",170.918367346939,0
"Cycling - BMX",176.020408163265,0
"Cycling - BMX",181.122448979592,0
"Cycling - BMX",186.224489795918,0
"Cycling - BMX",191.326530612245,0
"Cycling - BMX",196.428571428571,0
"Cycling - BMX",201.530612244898,0
"Cycling - BMX",206.632653061224,0
"Cycling - BMX",211.734693877551,0
"Cycling - BMX",216.836734693878,0
"Cycling - BMX",221.938775510204,0
"Cycling - BMX",227.040816326531,0
"Cycling - BMX",232.142857142857,0
"Cycling - BMX",237.244897959184,0
"Cycling - BMX",242.34693877551,0
"Cycling - BMX",247.448979591837,0
"Cycling - BMX",2.55102040816327,0
"Cycling - BMX, Cycling - Track",2.55102040816327,0
"Cycling - BMX, Cycling - Track",7.6530612244898,0
"Cycling - BMX, Cycling - Track",12.7551020408163,0
"Cycling - BMX, Cycling - Track",17.8571428571429,0
"Cycling - BMX, Cycling - Track",22.9591836734694,0
"Cycling - BMX, Cycling - Track",28.0612244897959,0
"Cycling - BMX, Cycling - Track",33.1632653061224,0
"Cycling - BMX, Cycling - Track",38.265306122449,0
"Cycling - BMX, Cycling - Track",43.3673469387755,0
"Cycling - BMX, Cycling - Track",48.469387755102,0
"Cycling - BMX, Cycling - Track",53.5714285714286,0
"Cycling - BMX, Cycling - Track",58.6734693877551,0
"Cycling - BMX, Cycling - Track",63.7755102040816,0
"Cycling - BMX, Cycling - Track",68.8775510204082,0
"Cycling - BMX, Cycling - Track",73.9795918367347,0
"Cycling - BMX, Cycling - Track",79.0816326530612,1
"Cycling - BMX, Cycling - Track",84.1836734693878,0
"Cycling - BMX, Cycling - Track",89.2857142857143,0
"Cycling - BMX, Cycling - Track",94.3877551020408,0
"Cycling - BMX, Cycling - Track",99.4897959183673,0
"Cycling - BMX, Cycling - Track",104.591836734694,0
"Cycling - BMX, Cycling - Track",109.69387755102,0
"Cycling - BMX, Cycling - Track",114.795918367347,0
"Cycling - BMX, Cycling - Track",119.897959183673,0
"Cycling - BMX, Cycling - Track",125,0
"Cycling - BMX, Cycling - Track",130.102040816327,0
"Cycling - BMX, Cycling - Track",135.204081632653,0
"Cycling - BMX, Cycling - Track",140.30612244898,0
"Cycling - BMX, Cycling - Track",145.408163265306,0
"Cycling - BMX, Cycling - Track",150.510204081633,0
"Cycling - BMX, Cycling - Track",155.612244897959,0
"Cycling - BMX, Cycling - Track",160.714285714286,0
"Cycling - BMX, Cycling - Track",165.816326530612,0
"Cycling - BMX, Cycling - Track",170.918367346939,0
"Cycling - BMX, Cycling - Track",176.020408163265,0
"Cycling - BMX, Cycling - Track",181.122448979592,0
"Cycling - BMX, Cycling - Track",186.224489795918,0
"Cycling - BMX, Cycling - Track",191.326530612245,0
"Cycling - BMX, Cycling - Track",196.428571428571,0
"Cycling - BMX, Cycling - Track",201.530612244898,0
"Cycling - BMX, Cycling - Track",206.632653061224,0
"Cycling - BMX, Cycling - Track",211.734693877551,0
"Cycling - BMX, Cycling - Track",216.836734693878,0
"Cycling - BMX, Cycling - Track",221.938775510204,0
"Cycling - BMX, Cycling - Track",227.040816326531,0
"Cycling - BMX, Cycling - Track",232.142857142857,0
"Cycling - BMX, Cycling - Track",237.244897959184,0
"Cycling - BMX, Cycling - Track",242.34693877551,0
"Cycling - BMX, Cycling - Track",247.448979591837,0
"Cycling - BMX, Cycling - Track",2.55102040816327,0
"Cycling - Mountain Bike",2.55102040816327,0
"Cycling - Mountain Bike",7.6530612244898,0
"Cycling - Mountain Bike",12.7551020408163,0
"Cycling - Mountain Bike",17.8571428571429,0
"Cycling - Mountain Bike",22.9591836734694,0
"Cycling - Mountain Bike",28.0612244897959,0
"Cycling - Mountain Bike",33.1632653061224,0
"Cycling - Mountain Bike",38.265306122449,0
"Cycling - Mountain Bike",43.3673469387755,1
"Cycling - Mountain Bike",48.469387755102,9
"Cycling - Mountain Bike",53.5714285714286,9
"Cycling - Mountain Bike",58.6734693877551,7
"Cycling - Mountain Bike",63.7755102040816,18
"Cycling - Mountain Bike",68.8775510204082,21
"Cycling - Mountain Bike",73.9795918367347,4
"Cycling - Mountain Bike",79.0816326530612,1
"Cycling - Mountain Bike",84.1836734693878,0
"Cycling - Mountain Bike",89.2857142857143,0
"Cycling - Mountain Bike",94.3877551020408,0
"Cycling - Mountain Bike",99.4897959183673,0
"Cycling - Mountain Bike",104.591836734694,0
"Cycling - Mountain Bike",109.69387755102,0
"Cycling - Mountain Bike",114.795918367347,0
"Cycling - Mountain Bike",119.897959183673,0
"Cycling - Mountain Bike",125,0
"Cycling - Mountain Bike",130.102040816327,0
"Cycling - Mountain Bike",135.204081632653,0
"Cycling - Mountain Bike",140.30612244898,0
"Cycling - Mountain Bike",145.408163265306,0
"Cycling - Mountain Bike",150.510204081633,0
"Cycling - Mountain Bike",155.612244897959,0
"Cycling - Mountain Bike",160.714285714286,0
"Cycling - Mountain Bike",165.816326530612,0
"Cycling - Mountain Bike",170.918367346939,0
"Cycling - Mountain Bike",176.020408163265,0
"Cycling - Mountain Bike",181.122448979592,0
"Cycling - Mountain Bike",186.224489795918,0
"Cycling - Mountain Bike",191.326530612245,0
"Cycling - Mountain Bike",196.428571428571,0
"Cycling - Mountain Bike",201.530612244898,0
"Cycling - Mountain Bike",206.632653061224,0
"Cycling - Mountain Bike",211.734693877551,0
"Cycling - Mountain Bike",216.836734693878,0
"Cycling - Mountain Bike",221.938775510204,0
"Cycling - Mountain Bike",227.040816326531,0
"Cycling - Mountain Bike",232.142857142857,0
"Cycling - Mountain Bike",237.244897959184,0
"Cycling - Mountain Bike",242.34693877551,0
"Cycling - Mountain Bike",247.448979591837,0
"Cycling - Mountain Bike",2.55102040816327,0
"Cycling - Mountain Bike, Cycling - Road",2.55102040816327,0
"Cycling - Mountain Bike, Cycling - Road",7.6530612244898,0
"Cycling - Mountain Bike, Cycling - Road",12.7551020408163,0
"Cycling - Mountain Bike, Cycling - Road",17.8571428571429,0
"Cycling - Mountain Bike, Cycling - Road",22.9591836734694,0
"Cycling - Mountain Bike, Cycling - Road",28.0612244897959,0
"Cycling - Mountain Bike, Cycling - Road",33.1632653061224,0
"Cycling - Mountain Bike, Cycling - Road",38.265306122449,0
"Cycling - Mountain Bike, Cycling - Road",43.3673469387755,0
"Cycling - Mountain Bike, Cycling - Road",48.469387755102,0
"Cycling - Mountain Bike, Cycling - Road",53.5714285714286,0
"Cycling - Mountain Bike, Cycling - Road",58.6734693877551,1
